concert hall;floor;side;row;number;x;y
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;1;604;253

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;1;170;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;2;184;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;3;198;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;4;212;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;5;226;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;6;240;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;7;254;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;8;268;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;9;282;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;10;296;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;11;310;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;12;324;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;13;338;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;3;14;352;265

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;14;422;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;13;436;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;12;450;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;11;464;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;10;478;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;9;492;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;8;506;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;7;520;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;6;534;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;5;548;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;4;562;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;3;576;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;2;590;265
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;3;1;604;265

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;1;170;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;2;184;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;3;198;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;4;212;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;5;226;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;6;240;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;7;254;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;8;268;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;9;282;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;10;296;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;11;310;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;12;324;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;13;338;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;14;352;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;15;366;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;4;16;380;277

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;16;394;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;15;408;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;14;422;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;13;436;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;12;450;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;11;464;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;10;478;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;9;492;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;8;506;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;7;520;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;6;534;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;5;548;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;4;562;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;3;576;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;2;590;277
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;4;1;604;277

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;1;170;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;2;184;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;3;198;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;4;212;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;5;226;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;6;240;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;7;254;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;8;268;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;9;282;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;10;296;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;11;310;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;12;324;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;13;338;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;14;352;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;15;366;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;5;16;380;289

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;16;394;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;15;408;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;14;422;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;13;436;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;12;450;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;11;464;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;10;478;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;9;492;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;8;506;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;7;520;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;6;534;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;5;548;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;4;562;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;3;576;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;2;590;289
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;5;1;604;289

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;5;240;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;6;254;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;7;268;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;8;282;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;9;296;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;10;310;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;11;324;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;12;338;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;13;352;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;14;366;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;6;15;380;301

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;15;394;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;14;408;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;13;422;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;12;436;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;11;450;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;10;464;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;9;478;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;8;492;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;7;506;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;6;520;301
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;6;5;534;301

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;1;184;313
