concert hall;floor;side;row;number;x;y
Kodály Központ, Pécs;orchestra;right;VIII;8;638;532
Kodály Központ, Pécs;orchestra;right;VIII;9;624;536
Kodály Központ, Pécs;orchestra;right;VIII;10;610;538
Kodály Központ, Pécs;orchestra;right;VIII;11;596;541
Kodály Központ, Pécs;orchestra;right;VIII;12;581;544
Kodály Központ, Pécs;orchestra;right;VIII;13;568;546
Kodály Központ, Pécs;orchestra;right;VIII;14;552;550

Kodály Központ, Pécs;orchestra;right;IX;1;741;536
Kodály Központ, Pécs;orchestra;right;IX;2;727;539
Kodály Központ, Pécs;orchestra;right;IX;3;713;541
Kodály Központ, Pécs;orchestra;right;IX;4;700;544
Kodály Központ, Pécs;orchestra;right;IX;5;686;547
Kodály Központ, Pécs;orchestra;right;IX;6;672;550
Kodály Központ, Pécs;orchestra;right;IX;7;657;553
Kodály Központ, Pécs;orchestra;right;IX;8;644;556
Kodály Központ, Pécs;orchestra;right;IX;9;630;558
Kodály Központ, Pécs;orchestra;right;IX;10;616;562
Kodály Központ, Pécs;orchestra;right;IX;11;602;564
Kodály Központ, Pécs;orchestra;right;IX;12;587;566
Kodály Központ, Pécs;orchestra;right;IX;13;573;569
Kodály Központ, Pécs;orchestra;right;IX;14;559;572

Kodály Központ, Pécs;orchestra;right;X;1;748;558
Kodály Központ, Pécs;orchestra;right;X;2;735;561
Kodály Központ, Pécs;orchestra;right;X;3;720;564
Kodály Központ, Pécs;orchestra;right;X;4;706;567
Kodály Központ, Pécs;orchestra;right;X;5;693;570
Kodály Központ, Pécs;orchestra;right;X;6;678;572
Kodály Központ, Pécs;orchestra;right;X;7;665;575
Kodály Központ, Pécs;orchestra;right;X;8;651;578
Kodály Központ, Pécs;orchestra;right;X;9;636;581
Kodály Központ, Pécs;orchestra;right;X;10;622;584
Kodály Központ, Pécs;orchestra;right;X;11;608;586
Kodály Központ, Pécs;orchestra;right;X;12;595;590
Kodály Központ, Pécs;orchestra;right;X;13;581;592
Kodály Központ, Pécs;orchestra;right;X;14;566;595

Kodály Központ, Pécs;orchestra;right;XI;1;755;582
Kodály Központ, Pécs;orchestra;right;XI;2;741;584
Kodály Központ, Pécs;orchestra;right;XI;3;727;587
Kodály Központ, Pécs;orchestra;right;XI;4;713;590
Kodály Központ, Pécs;orchestra;right;XI;5;698;592
Kodály Központ, Pécs;orchestra;right;XI;6;685;596
Kodály Központ, Pécs;orchestra;right;XI;7;670;598
Kodály Központ, Pécs;orchestra;right;XI;8;657;601
Kodály Központ, Pécs;orchestra;right;XI;9;642;603
Kodály Központ, Pécs;orchestra;right;XI;10;628;606
Kodály Központ, Pécs;orchestra;right;XI;11;615;610
